PERMIT_NUM,REVISION_NUM,STRUCTURE_TYPE,APPLICATION_DATE,ISSUED_DATE,COMPLETED_DATE,STATUS,POSTAL,GREEN_ROOF_AREA,ECO_ROOF,ID,CFSAUID,G_AREA
12 230546,0,Multiple Use/Non Residential,2012-08-16T00:00:00Z,2012-12-10T00:00:00Z,2015-09-23T00:00:00Z,Closed,M8Z,790,FALSE,12 230546_0,M8Z,790
12 233929,0,Apartment Building,2012-08-22T00:00:00Z,2014-09-22T00:00:00Z,2016-07-08T00:00:00Z,Closed,M1R,1519,FALSE,12 233929_0,M1R,1519
12 235082,0,Mixed Use/Res w Non Res,2012-08-24T00:00:00Z,2013-08-09T00:00:00Z,2017-10-03T00:00:00Z,Closed,NA,587,FALSE,12 235082_0,NA,587
12 236480,0,Industrial,2012-08-27T00:00:00Z,2013-04-17T00:00:00Z,NA,Inspection,M9L,2459,FALSE,12 236480_0,M9L,2459
12 246001,0,Mixed Use/Res w Non Res,2012-09-13T00:00:00Z,2014-09-04T00:00:00Z,NA,Inspection,M5V,501.75,FALSE,12 246001_0,M5V,501.75
12 246672,0,SFD - Detached,2012-09-14T00:00:00Z,2012-10-04T00:00:00Z,2012-12-20T00:00:00Z,Closed,M2N,53.6,FALSE,12 246672_0,M2N,53.6
12 260027,0,Library,2012-10-09T00:00:00Z,2013-05-09T00:00:00Z,NA,Inspection,M1P,814,FALSE,12 260027_0,M1P,814
12 260121,0,Retail Mall/Plaza,2012-10-09T00:00:00Z,2013-04-17T00:00:00Z,2025-08-14T00:00:00Z,Closed,M3J,2270,FALSE,12 260121_0,M3J,2270
12 260361,0,Apartment Building,2012-10-10T00:00:00Z,2014-05-21T00:00:00Z,2016-08-22T00:00:00Z,Closed,NA,712,FALSE,12 260361_0,NA,712
12 261353,0,Apartment Building,2012-10-11T00:00:00Z,2014-01-29T00:00:00Z,NA,Inspection,M4Y,392,FALSE,12 261353_0,M4Y,392
12 265687,0,Retail Store,2012-10-19T00:00:00Z,2013-06-28T00:00:00Z,NA,Inspection,M8Z,196.3,FALSE,12 265687_0,M8Z,196.3
12 266823,0,Mixed Use/Res w Non Res,2012-10-23T00:00:00Z,2015-08-04T00:00:00Z,NA,Inspection,M5V,1132,FALSE,12 266823_0,M5V,1132
12 275376,0,Industrial,2012-11-07T00:00:00Z,2013-03-04T00:00:00Z,2017-04-11T00:00:00Z,Closed,M3H,1992,FALSE,12 275376_0,M3H,1992
